salary,city,post_time,title,url,company
15000-19999/月,北京-海淀区,12-14,集团总部-网络运营部-高级Python/JAVA开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,15.html",搜狐公司
10000-15000/月,南京-建邺区,12-14,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,15.html",上海海万信息科技有限公司
6000-7999/月,深圳-福田区,12-30,Python,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",北京赞同科技发展有限公司驻广州办...
6000-12000/月,重庆,12-30,python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",重庆融特通信技术有限公司
8000-12000/月,苏州-工业园区,12-30,python工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",苏州智泰腾迪信息科技有限公司
5000-10000/月,武汉-武昌区,12-30,python工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",武汉白虹软件科技有限公司
15000-25000/月,深圳-福田区,12-30,python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",珠海世博信息科技有限公司
10000-14999/月,上海-浦东新区,12-30,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,6.html",四衡商务信息咨询（上海）有限公司
10000-14999/月,上海-浦东新区,12-26,Python后端工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,13.html",上海睿迹网络科技有限公司
5000-10000/月,苏州,12-26,大数据应用开发高级工程师（Java、Spark、Python）,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,13.html",厦门智协软件有限公司
15000-19999/月,北京-海淀区,12-26,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,13.html",北京一九易站电子商务有限公司
5000-10000/月,广州-天河区,12-26,Python开发工程师（爬虫）,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,13.html",上海康佰企业管理有限公司
6000-9000/月,深圳-龙岗区,12-26,python脚本开发,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,13.html",深圳市易思博软件技术有限公司
7000-9000/月,深圳-南山区,12-26,Python开发工程师,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,13.html",深圳市瑞云科技有限公司
10000-14999/月,杭州,12-26,Python自然语言处理,"http://search.51job.com/list/000000,000000,0000,00,9,99,python,2,13.html",杭州国芯科技股份有限公司
