salary,city,post_time,max_salary,url,company,title,min_salary
4000-5000/月,佛山,12-07,5000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,7.html",广东科达洁能股份有限公司,审计员,4000
,北京-东城区,12-22,,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,6.html",信永中和税务师事务所,金融审计员,
5000-8000/月,东莞-长安镇,12-21,8000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,6.html",东莞鸿策上市服务有限公司,审计员,5000
10000-14999/月,杭州-西湖区,12-21,14999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,6.html",亚太（集团）会计师事务所（特殊普...,高级审计员,10000
,南京-江宁区,12-21,,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,6.html",南京法雷奥传动系统 Nanjing Vale...,内部审计员 Internal Auditor,
2000-2999/月,广州-增城,12-31,2999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,2.html",香港皇朝家私集团有限公司,财务审计员,2000
3000-4499/月,异地招聘,12-31,4499,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,2.html",聊城市新欣金帝保持器科技有限公司,审计员,3000
8000-15000/月,上海-黄浦区,12-31,15000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,2.html",众华会计师事务所（特殊普通合伙）,审计员,8000
5000-10000/月,深圳,12-30,10000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,3.html",深圳市雨禾伟业实业有限公司,审计员,5000
6000-7999/月,北京-朝阳区,12-30,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,3.html",利安达会计师事务所（特殊普通合伙）,高级审计员,6000
4500-5999/月,广州-荔湾区,12-30,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,3.html",鸿达兴业集团有限公司,审计员,4500
6000-7999/月,异地招聘,12-30,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,3.html",江西汇仁药业股份有限公司,建筑工程审计员,6000
4000-8000/月,深圳-福田区,12-30,8000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,3.html",深圳邦德会计师事务所(普通合伙),审计员-上会会计师事务所(特殊普通合伙)广东分所,4000
4000-10000/月,北京-海淀区,12-28,10000,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,5.html",中准会计师事务所（特殊普通合伙）,审计助理、审计专员、审计员,4000
3000-4499/月,江门,12-28,4499,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,5.html",江裕科技园（新会）有限公司,审计员,3000
4500-5999/月,宁波,12-28,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,5.html",得力集团有限公司,审计专员/审计员/审计助理,4500
6000-7999/月,武汉,12-28,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,5.html",三环集团有限公司,审计员（基建方向）,6000
4500-5999/月,上海-松江区,12-29,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",复盛实业（上海）有限公司,审计员,4500
8000-9999/月,北京-海淀区,12-29,9999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",北京东方红航天生物技术股份有限公司,审计员,8000
3000-4499/月,昆明,12-29,4499,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",昆明中药厂有限公司,审计员,3000
3000-4499/月,深圳-福田区,12-29,4499,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",深圳市美佳装饰设计工程有限公司,审计员,3000
6000-7999/月,北京,12-29,7999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,4.html",奥贝泰克药物化学（天津）有限公司...,助理质量审计员,6000
4500-5999/月,深圳,01-01,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,1.html",沃丁信息技术（深圳）有限公司,审计员/ 审计助理/ 审计专员,4500
4500-5999/月,深圳,01-01,5999,"http://search.51job.com/list/000000,000000,0000,00,9,99,%E5%AE%A1%E8%AE%A1%E5%91%98,2,1.html",上海挚品互联网科技有限公司,审计员/ 审计助理/ 审计专员,4500
